Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 561

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

3/22/2021;12:04:03.617; 3.6255E-08
3/22/2021;12:04:03.620; 3.9525E-08
3/22/2021;12:04:03.623; 3.5487E-08
3/22/2021;12:04:03.626; 4.0978E-08
3/22/2021;12:04:03.628; 3.7022E-08
3/22/2021;12:04:03.631; 4.2068E-08
3/22/2021;12:04:03.634; 3.3509E-08
3/22/2021;12:04:03.636; 3.5205E-08
3/22/2021;12:04:03.640; 3.6497E-08
3/22/2021;12:04:03.643; 4.2593E-08
3/22/2021;12:04:03.646; 3.6174E-08
3/22/2021;12:04:03.649; 3.7668E-08
3/22/2021;12:04:03.651; 4.1099E-08
3/22/2021;12:04:03.654; 3.4801E-08
3/22/2021;12:04:03.657; 4.1786E-08
3/22/2021;12:04:03.659; 3.5124E-08
3/22/2021;12:04:03.662; 4.2109E-08
3/22/2021;12:04:03.665; 3.791E-08
3/22/2021;12:04:03.667; 4.122E-08
3/22/2021;12:04:03.670; 3.4842E-08
3/22/2021;12:04:03.673; 4.2149E-08
3/22/2021;12:04:03.679; 3.3994E-08
3/22/2021;12:04:03.683; 3.9121E-08
3/22/2021;12:04:03.686; 3.4922E-08
3/22/2021;12:04:03.690; 3.6497E-08
3/22/2021;12:04:03.693; 3.6376E-08
3/22/2021;12:04:03.695; 3.3065E-08
3/22/2021;12:04:03.698; 3.6376E-08
3/22/2021;12:04:03.701; 3.5165E-08
3/22/2021;12:04:03.703; 3.6255E-08
3/22/2021;12:04:03.706; 3.4559E-08
3/22/2021;12:04:03.709; 3.4478E-08
3/22/2021;12:04:03.711; 3.7991E-08
3/22/2021;12:04:03.714; 3.8515E-08
3/22/2021;12:04:03.717; 3.4882E-08
3/22/2021;12:04:03.719; 3.896E-08
3/22/2021;12:04:03.722; 3.5326E-08
3/22/2021;12:04:03.725; 3.9202E-08
3/22/2021;12:04:03.727; 3.5124E-08
3/22/2021;12:04:03.730; 3.464E-08
3/22/2021;12:04:03.733; 3.4034E-08
3/22/2021;12:04:03.735; 4.0171E-08
3/22/2021;12:04:03.740; 3.3429E-08
3/22/2021;12:04:03.742; 3.9404E-08
3/22/2021;12:04:03.745; 3.6699E-08
3/22/2021;12:04:03.747; 3.7708E-08
3/22/2021;12:04:03.750; 3.4761E-08
3/22/2021;12:04:03.753; 3.3873E-08
3/22/2021;12:04:03.755; 3.5326E-08
3/22/2021;12:04:03.758; 3.7183E-08
3/22/2021;12:04:03.761; 3.8556E-08
3/22/2021;12:04:03.763; 3.4478E-08
3/22/2021;12:04:03.766; 3.9484E-08
3/22/2021;12:04:03.769; 3.7062E-08
3/22/2021;12:04:03.771; 3.9323E-08
3/22/2021;12:04:03.774; 3.7062E-08
3/22/2021;12:04:03.777; 3.5326E-08
3/22/2021;12:04:03.779; 3.7668E-08
3/22/2021;12:04:03.782; 3.9484E-08
3/22/2021;12:04:03.785; 3.4196E-08
3/22/2021;12:04:03.787; 4.0009E-08
3/22/2021;12:04:03.793; 3.4155E-08
3/22/2021;12:04:03.796; 3.8152E-08
3/22/2021;12:04:03.798; 3.9646E-08
3/22/2021;12:04:03.802; 3.6335E-08
3/22/2021;12:04:03.804; 3.7869E-08
3/22/2021;12:04:03.807; 3.5851E-08
3/22/2021;12:04:03.810; 3.9888E-08
3/22/2021;12:04:03.812; 3.8071E-08
3/22/2021;12:04:03.815; 4.1019E-08
3/22/2021;12:04:03.818; 3.5326E-08
3/22/2021;12:04:03.820; 3.7183E-08
3/22/2021;12:04:03.823; 3.6255E-08
3/22/2021;12:04:03.826; 3.8596E-08
3/22/2021;12:04:03.828; 3.6739E-08
3/22/2021;12:04:03.831; 3.9686E-08
3/22/2021;12:04:03.834; 3.6658E-08
3/22/2021;12:04:03.836; 3.7183E-08
3/22/2021;12:04:03.839; 3.4478E-08
3/22/2021;12:04:03.842; 3.4559E-08
3/22/2021;12:04:03.844; 3.9807E-08
3/22/2021;12:04:03.847; 3.5003E-08
3/22/2021;12:04:03.850; 4.1099E-08
3/22/2021;12:04:03.852; 3.1329E-08
3/22/2021;12:04:03.855; 3.6214E-08
3/22/2021;12:04:03.858; 3.2783E-08
3/22/2021;12:04:03.860; 4.0373E-08
3/22/2021;12:04:03.863; 3.3307E-08
3/22/2021;12:04:03.866; 4.1261E-08
3/22/2021;12:04:03.868; 3.4397E-08
3/22/2021;12:04:03.871; 3.9807E-08
3/22/2021;12:04:03.874; 3.6214E-08
3/22/2021;12:04:03.876; 4.2835E-08
3/22/2021;12:04:03.879; 3.4074E-08
3/22/2021;12:04:03.882; 3.7183E-08
3/22/2021;12:04:03.884; 3.7224E-08
3/22/2021;12:04:03.887; 4.1584E-08
3/22/2021;12:04:03.892; 3.5165E-08
3/22/2021;12:04:03.894; 3.5447E-08
3/22/2021;12:04:03.897; 4.0292E-08
3/22/2021;12:04:03.900; 3.6779E-08
3/22/2021;12:04:03.902; 4.0897E-08
3/22/2021;12:04:03.905; 3.5124E-08
3/22/2021;12:04:03.908; 3.573E-08
3/22/2021;12:04:03.910; 3.2177E-08
3/22/2021;12:04:03.913; 4.2149E-08
3/22/2021;12:04:03.916; 3.2742E-08
3/22/2021;12:04:03.918; 4.2674E-08
3/22/2021;12:04:03.921; 3.2702E-08
3/22/2021;12:04:03.924; 3.9767E-08
3/22/2021;12:04:03.926; 3.5003E-08
3/22/2021;12:04:03.929; 3.5851E-08
3/22/2021;12:04:03.933; 3.6739E-08
3/22/2021;12:04:03.935; 3.3509E-08
3/22/2021;12:04:03.939; 4.0332E-08
3/22/2021;12:04:03.942; 3.7829E-08
3/22/2021;12:04:03.945; 3.6618E-08
3/22/2021;12:04:03.947; 3.3429E-08
3/22/2021;12:04:03.950; 4.114E-08
