Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 640

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

3/22/2021;12:06:36.628; 9.7226E-09
3/22/2021;12:06:36.632; 1.3558E-08
3/22/2021;12:06:36.636; 1.1356E-08
3/22/2021;12:06:36.638; 9.3808E-09
3/22/2021;12:06:36.641; 1.2571E-08
3/22/2021;12:06:36.644; 9.1149E-09
3/22/2021;12:06:36.646; 1.2951E-08
3/22/2021;12:06:36.649; 9.6846E-09
3/22/2021;12:06:36.652; 1.3748E-08
3/22/2021;12:06:36.654; 1.014E-08
3/22/2021;12:06:36.657; 1.3558E-08
3/22/2021;12:06:36.660; 9.077E-09
3/22/2021;12:06:36.662; 1.4622E-08
3/22/2021;12:06:36.665; 9.9125E-09
3/22/2021;12:06:36.668; 1.2761E-08
3/22/2021;12:06:36.670; 9.7226E-09
3/22/2021;12:06:36.673; 1.5609E-08
3/22/2021;12:06:36.676; 8.7352E-09
3/22/2021;12:06:36.678; 1.4014E-08
3/22/2021;12:06:36.681; 9.9505E-09
3/22/2021;12:06:36.684; 1.5571E-08
3/22/2021;12:06:36.688; 8.3174E-09
3/22/2021;12:06:36.690; 1.5343E-08
3/22/2021;12:06:36.693; 6.1906E-09
3/22/2021;12:06:36.695; 9.2669E-09
3/22/2021;12:06:36.698; 7.0261E-09
3/22/2021;12:06:36.701; 1.4812E-08
3/22/2021;12:06:36.703; 1.0292E-08
3/22/2021;12:06:36.706; 1.0292E-08
3/22/2021;12:06:36.709; 7.6338E-09
3/22/2021;12:06:36.711; 1.4926E-08
3/22/2021;12:06:36.714; 7.7477E-09
3/22/2021;12:06:36.717; 1.5419E-08
3/22/2021;12:06:36.719; 7.368E-09
3/22/2021;12:06:36.722; 1.5875E-08
3/22/2021;12:06:36.725; 8.3934E-09
3/22/2021;12:06:36.727; 1.6217E-08
3/22/2021;12:06:36.730; 8.8491E-09
3/22/2021;12:06:36.733; 1.4014E-08
3/22/2021;12:06:36.737; 1.2837E-08
3/22/2021;12:06:36.739; 1.2191E-08
3/22/2021;12:06:36.742; 9.4948E-09
3/22/2021;12:06:36.745; 1.3255E-08
3/22/2021;12:06:36.747; 1.2039E-08
3/22/2021;12:06:36.750; 8.7732E-09
3/22/2021;12:06:36.753; 1.1394E-08
3/22/2021;12:06:36.755; 1.1963E-08
3/22/2021;12:06:36.758; 1.2039E-08
3/22/2021;12:06:36.761; 1.3065E-08
3/22/2021;12:06:36.763; 1.2571E-08
3/22/2021;12:06:36.766; 1.128E-08
3/22/2021;12:06:36.769; 1.1811E-08
3/22/2021;12:06:36.771; 1.2761E-08
3/22/2021;12:06:36.774; 1.0672E-08
3/22/2021;12:06:36.777; 1.1546E-08
3/22/2021;12:06:36.779; 9.4948E-09
3/22/2021;12:06:36.782; 1.2761E-08
3/22/2021;12:06:36.788; 9.5707E-09
3/22/2021;12:06:36.791; 9.3048E-09
3/22/2021;12:06:36.793; 9.4948E-09
3/22/2021;12:06:36.796; 1.5343E-08
3/22/2021;12:06:36.799; 8.9251E-09
3/22/2021;12:06:36.801; 1.5647E-08
3/22/2021;12:06:36.804; 9.3428E-09
3/22/2021;12:06:36.806; 1.1887E-08
3/22/2021;12:06:36.809; 1.0254E-08
3/22/2021;12:06:36.811; 1.147E-08
3/22/2021;12:06:36.814; 1.052E-08
3/22/2021;12:06:36.817; 1.2457E-08
3/22/2021;12:06:36.819; 1.2761E-08
3/22/2021;12:06:36.822; 1.147E-08
3/22/2021;12:06:36.825; 1.0254E-08
3/22/2021;12:06:36.827; 1.2343E-08
3/22/2021;12:06:36.830; 9.6087E-09
3/22/2021;12:06:36.833; 9.3808E-09
3/22/2021;12:06:36.835; 9.2669E-09
3/22/2021;12:06:36.838; 1.0368E-08
3/22/2021;12:06:36.841; 1.147E-08
3/22/2021;12:06:36.844; 1.2267E-08
3/22/2021;12:06:36.847; 9.5707E-09
3/22/2021;12:06:36.849; 1.1128E-08
3/22/2021;12:06:36.852; 1.447E-08
3/22/2021;12:06:36.855; 1.0254E-08
3/22/2021;12:06:36.857; 7.368E-09
3/22/2021;12:06:36.860; 9.4568E-09
3/22/2021;12:06:36.863; 1.071E-08
3/22/2021;12:06:36.865; 8.963E-09
3/22/2021;12:06:36.868; 1.2685E-08
3/22/2021;12:06:36.871; 9.4188E-09
3/22/2021;12:06:36.873; 1.2039E-08
3/22/2021;12:06:36.876; 9.1149E-09
3/22/2021;12:06:36.879; 9.039E-09
3/22/2021;12:06:36.881; 1.09E-08
3/22/2021;12:06:36.886; 8.6592E-09
3/22/2021;12:06:36.889; 8.3554E-09
