Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 775

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

3/22/2021;12:08:26.230; 7.7975E-07
3/22/2021;12:08:26.234; 7.8532E-07
3/22/2021;12:08:26.237; 7.8115E-07
3/22/2021;12:08:26.240; 7.8108E-07
3/22/2021;12:08:26.242; 7.8192E-07
3/22/2021;12:08:26.245; 7.8302E-07
3/22/2021;12:08:26.248; 7.8018E-07
3/22/2021;12:08:26.250; 7.8452E-07
3/22/2021;12:08:26.253; 7.8082E-07
3/22/2021;12:08:26.256; 7.8576E-07
3/22/2021;12:08:26.258; 7.8048E-07
3/22/2021;12:08:26.261; 7.8582E-07
3/22/2021;12:08:26.264; 7.8172E-07
3/22/2021;12:08:26.266; 7.8559E-07
3/22/2021;12:08:26.269; 7.8536E-07
3/22/2021;12:08:26.272; 7.8379E-07
3/22/2021;12:08:26.274; 7.8108E-07
3/22/2021;12:08:26.277; 7.8128E-07
3/22/2021;12:08:26.279; 7.8472E-07
3/22/2021;12:08:26.284; 7.8269E-07
3/22/2021;12:08:26.287; 7.8028E-07
3/22/2021;12:08:26.289; 7.8482E-07
3/22/2021;12:08:26.292; 7.8072E-07
3/22/2021;12:08:26.295; 7.8612E-07
3/22/2021;12:08:26.297; 7.7821E-07
3/22/2021;12:08:26.300; 7.8609E-07
3/22/2021;12:08:26.303; 7.7844E-07
3/22/2021;12:08:26.305; 7.8486E-07
3/22/2021;12:08:26.308; 7.7971E-07
3/22/2021;12:08:26.311; 7.8769E-07
3/22/2021;12:08:26.313; 7.7948E-07
3/22/2021;12:08:26.316; 7.8155E-07
3/22/2021;12:08:26.319; 7.7761E-07
3/22/2021;12:08:26.321; 7.8502E-07
3/22/2021;12:08:26.324; 7.8158E-07
3/22/2021;12:08:26.327; 7.8302E-07
3/22/2021;12:08:26.329; 7.8062E-07
3/22/2021;12:08:26.333; 7.7965E-07
3/22/2021;12:08:26.336; 7.8305E-07
3/22/2021;12:08:26.338; 7.8128E-07
3/22/2021;12:08:26.341; 7.8255E-07
3/22/2021;12:08:26.344; 7.8238E-07
3/22/2021;12:08:26.346; 7.8532E-07
3/22/2021;12:08:26.349; 7.8128E-07
3/22/2021;12:08:26.352; 7.8539E-07
3/22/2021;12:08:26.354; 7.8125E-07
3/22/2021;12:08:26.357; 7.8385E-07
3/22/2021;12:08:26.360; 7.8255E-07
3/22/2021;12:08:26.362; 7.8556E-07
3/22/2021;12:08:26.365; 7.8262E-07
3/22/2021;12:08:26.368; 7.8646E-07
3/22/2021;12:08:26.370; 7.8112E-07
3/22/2021;12:08:26.374; 7.7841E-07
3/22/2021;12:08:26.376; 7.8592E-07
3/22/2021;12:08:26.379; 7.8522E-07
3/22/2021;12:08:26.384; 7.8282E-07
3/22/2021;12:08:26.387; 7.8325E-07
3/22/2021;12:08:26.389; 7.8506E-07
3/22/2021;12:08:26.392; 7.8556E-07
3/22/2021;12:08:26.395; 7.8382E-07
3/22/2021;12:08:26.397; 7.8148E-07
3/22/2021;12:08:26.400; 7.8125E-07
3/22/2021;12:08:26.403; 7.8198E-07
3/22/2021;12:08:26.405; 7.8663E-07
3/22/2021;12:08:26.408; 7.8068E-07
3/22/2021;12:08:26.411; 7.8639E-07
3/22/2021;12:08:26.416; 7.8145E-07
3/22/2021;12:08:26.418; 7.8369E-07
3/22/2021;12:08:26.421; 7.8789E-07
3/22/2021;12:08:26.424; 7.8422E-07
3/22/2021;12:08:26.426; 7.8693E-07
3/22/2021;12:08:26.429; 7.8162E-07
3/22/2021;12:08:26.433; 7.8612E-07
3/22/2021;12:08:26.435; 7.8122E-07
3/22/2021;12:08:26.438; 7.8656E-07
3/22/2021;12:08:26.441; 7.8262E-07
3/22/2021;12:08:26.443; 7.8659E-07
3/22/2021;12:08:26.446; 7.7714E-07
3/22/2021;12:08:26.449; 7.8723E-07
3/22/2021;12:08:26.451; 7.8028E-07
3/22/2021;12:08:26.454; 7.8726E-07
3/22/2021;12:08:26.457; 7.8051E-07
3/22/2021;12:08:26.459; 7.8435E-07
3/22/2021;12:08:26.462; 7.7898E-07
3/22/2021;12:08:26.465; 7.8559E-07
3/22/2021;12:08:26.467; 7.8128E-07
3/22/2021;12:08:26.470; 7.8612E-07
3/22/2021;12:08:26.473; 7.8108E-07
3/22/2021;12:08:26.475; 7.8659E-07
3/22/2021;12:08:26.478; 7.8188E-07
3/22/2021;12:08:26.483; 7.8529E-07
3/22/2021;12:08:26.485; 7.8092E-07
