Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 640

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

3/22/2021;12:24:53.237; 3.1363E-07
3/22/2021;12:24:53.242; 3.0493E-07
3/22/2021;12:24:53.244; 3.1169E-07
3/22/2021;12:24:53.247; 3.0592E-07
3/22/2021;12:24:53.250; 3.1367E-07
3/22/2021;12:24:53.252; 3.0618E-07
3/22/2021;12:24:53.255; 3.0804E-07
3/22/2021;12:24:53.259; 3.0915E-07
3/22/2021;12:24:53.261; 3.0846E-07
3/22/2021;12:24:53.264; 3.0539E-07
3/22/2021;12:24:53.267; 3.1021E-07
3/22/2021;12:24:53.269; 3.0759E-07
3/22/2021;12:24:53.272; 3.0831E-07
3/22/2021;12:24:53.275; 3.0584E-07
3/22/2021;12:24:53.277; 3.0793E-07
3/22/2021;12:24:53.280; 3.1272E-07
3/22/2021;12:24:53.283; 3.0854E-07
3/22/2021;12:24:53.285; 3.1067E-07
3/22/2021;12:24:53.287; 3.112E-07
3/22/2021;12:24:53.290; 3.0588E-07
3/22/2021;12:24:53.297; 3.1055E-07
3/22/2021;12:24:53.302; 3.0972E-07
3/22/2021;12:24:53.304; 3.0546E-07
3/22/2021;12:24:53.308; 3.1104E-07
3/22/2021;12:24:53.311; 3.0861E-07
3/22/2021;12:24:53.314; 3.0653E-07
3/22/2021;12:24:53.316; 3.1389E-07
3/22/2021;12:24:53.319; 3.0436E-07
3/22/2021;12:24:53.322; 3.0835E-07
3/22/2021;12:24:53.324; 3.0702E-07
3/22/2021;12:24:53.327; 3.1234E-07
3/22/2021;12:24:53.330; 3.0808E-07
3/22/2021;12:24:53.332; 3.0725E-07
3/22/2021;12:24:53.335; 3.1021E-07
3/22/2021;12:24:53.338; 3.0747E-07
3/22/2021;12:24:53.340; 3.1294E-07
3/22/2021;12:24:53.343; 3.0607E-07
3/22/2021;12:24:53.346; 3.1089E-07
3/22/2021;12:24:53.348; 3.0687E-07
3/22/2021;12:24:53.351; 3.0831E-07
3/22/2021;12:24:53.354; 3.0546E-07
3/22/2021;12:24:53.360; 3.0804E-07
3/22/2021;12:24:53.362; 3.1139E-07
3/22/2021;12:24:53.365; 3.1336E-07
3/22/2021;12:24:53.368; 3.0668E-07
3/22/2021;12:24:53.370; 3.1253E-07
3/22/2021;12:24:53.373; 3.112E-07
3/22/2021;12:24:53.376; 3.0577E-07
3/22/2021;12:24:53.378; 3.0865E-07
3/22/2021;12:24:53.381; 3.0436E-07
3/22/2021;12:24:53.384; 3.1416E-07
3/22/2021;12:24:53.386; 3.0854E-07
3/22/2021;12:24:53.389; 3.1222E-07
3/22/2021;12:24:53.392; 3.0645E-07
3/22/2021;12:24:53.394; 3.118E-07
3/22/2021;12:24:53.397; 3.085E-07
3/22/2021;12:24:53.400; 3.0804E-07
3/22/2021;12:24:53.402; 3.055E-07
3/22/2021;12:24:53.406; 3.088E-07
3/22/2021;12:24:53.409; 3.1139E-07
3/22/2021;12:24:53.411; 3.077E-07
3/22/2021;12:24:53.414; 3.0804E-07
3/22/2021;12:24:53.417; 3.0801E-07
3/22/2021;12:24:53.420; 3.1435E-07
3/22/2021;12:24:53.425; 3.1135E-07
3/22/2021;12:24:53.430; 3.0979E-07
3/22/2021;12:24:53.433; 3.148E-07
3/22/2021;12:24:53.435; 3.066E-07
3/22/2021;12:24:53.438; 3.1169E-07
3/22/2021;12:24:53.441; 3.1192E-07
3/22/2021;12:24:53.443; 3.0975E-07
3/22/2021;12:24:53.446; 3.0717E-07
3/22/2021;12:24:53.449; 3.0782E-07
3/22/2021;12:24:53.451; 3.1359E-07
3/22/2021;12:24:53.454; 3.0706E-07
3/22/2021;12:24:53.457; 3.1013E-07
3/22/2021;12:24:53.459; 3.1112E-07
3/22/2021;12:24:53.462; 3.0763E-07
3/22/2021;12:24:53.465; 3.0804E-07
3/22/2021;12:24:53.467; 3.0664E-07
3/22/2021;12:24:53.470; 3.0766E-07
3/22/2021;12:24:53.473; 3.0789E-07
3/22/2021;12:24:53.475; 3.1123E-07
3/22/2021;12:24:53.478; 3.0968E-07
3/22/2021;12:24:53.481; 3.1021E-07
3/22/2021;12:24:53.483; 3.1112E-07
3/22/2021;12:24:53.486; 3.0672E-07
3/22/2021;12:24:53.489; 3.1313E-07
3/22/2021;12:24:53.491; 3.0459E-07
3/22/2021;12:24:53.494; 3.1211E-07
3/22/2021;12:24:53.497; 3.0846E-07
3/22/2021;12:24:53.499; 3.0991E-07
3/22/2021;12:24:53.502; 3.0998E-07
3/22/2021;12:24:53.506; 3.0539E-07
3/22/2021;12:24:53.509; 3.1215E-07
3/22/2021;12:24:53.512; 3.1272E-07
3/22/2021;12:24:53.514; 3.0725E-07
3/22/2021;12:24:53.517; 3.0873E-07
3/22/2021;12:24:53.520; 3.0964E-07
3/22/2021;12:24:53.522; 3.0797E-07
3/22/2021;12:24:53.525; 3.1355E-07
3/22/2021;12:24:53.528; 3.0979E-07
3/22/2021;12:24:53.530; 3.1283E-07
3/22/2021;12:24:53.533; 3.0793E-07
3/22/2021;12:24:53.536; 3.0888E-07
3/22/2021;12:24:53.538; 3.1063E-07
3/22/2021;12:24:53.541; 3.1021E-07
3/22/2021;12:24:53.544; 3.1161E-07
3/22/2021;12:24:53.548; 3.1082E-07
3/22/2021;12:24:53.553; 3.1291E-07
3/22/2021;12:24:53.559; 3.1101E-07
3/22/2021;12:24:53.562; 3.0865E-07
3/22/2021;12:24:53.565; 3.1237E-07
3/22/2021;12:24:53.567; 3.1139E-07
3/22/2021;12:24:53.570; 3.1048E-07
3/22/2021;12:24:53.573; 3.0865E-07
3/22/2021;12:24:53.576; 3.0991E-07
3/22/2021;12:24:53.578; 3.0842E-07
3/22/2021;12:24:53.581; 3.0751E-07
3/22/2021;12:24:53.584; 3.0675E-07
3/22/2021;12:24:53.586; 3.0702E-07
3/22/2021;12:24:53.589; 3.126E-07
3/22/2021;12:24:53.592; 3.1086E-07
3/22/2021;12:24:53.594; 3.1101E-07
3/22/2021;12:24:53.597; 3.074E-07
3/22/2021;12:24:53.600; 3.137E-07
3/22/2021;12:24:53.602; 3.0725E-07
3/22/2021;12:24:53.605; 3.1416E-07
3/22/2021;12:24:53.609; 3.0808E-07
3/22/2021;12:24:53.612; 3.0827E-07
3/22/2021;12:24:53.614; 3.0953E-07
3/22/2021;12:24:53.617; 3.0823E-07
3/22/2021;12:24:53.620; 3.1317E-07
3/22/2021;12:24:53.622; 3.0842E-07
3/22/2021;12:24:53.625; 3.0899E-07
3/22/2021;12:24:53.628; 3.1082E-07
3/22/2021;12:24:53.630; 3.1515E-07
3/22/2021;12:24:53.633; 3.0732E-07
3/22/2021;12:24:53.636; 3.0721E-07
3/22/2021;12:24:53.638; 3.1086E-07
3/22/2021;12:24:53.641; 3.0607E-07
3/22/2021;12:24:53.644; 3.1393E-07
3/22/2021;12:24:53.646; 3.0766E-07
3/22/2021;12:24:53.649; 3.096E-07
3/22/2021;12:24:53.652; 3.0474E-07
3/22/2021;12:24:53.654; 3.1272E-07
3/22/2021;12:24:53.658; 3.0839E-07
3/22/2021;12:24:53.661; 3.0945E-07
3/22/2021;12:24:53.664; 3.0941E-07
3/22/2021;12:24:53.666; 3.0785E-07
3/22/2021;12:24:53.669; 3.1241E-07
3/22/2021;12:24:53.672; 3.0888E-07
3/22/2021;12:24:53.674; 3.1196E-07
3/22/2021;12:24:53.677; 3.0683E-07
3/22/2021;12:24:53.682; 3.1089E-07
3/22/2021;12:24:53.684; 3.0793E-07
3/22/2021;12:24:53.687; 3.1196E-07
3/22/2021;12:24:53.690; 3.0801E-07
3/22/2021;12:24:53.692; 3.0554E-07
3/22/2021;12:24:53.695; 3.066E-07
3/22/2021;12:24:53.698; 3.0941E-07
3/22/2021;12:24:53.700; 3.0953E-07
3/22/2021;12:24:53.703; 3.0789E-07
3/22/2021;12:24:53.707; 3.1268E-07
3/22/2021;12:24:53.710; 3.0615E-07
3/22/2021;12:24:53.712; 3.033E-07
3/22/2021;12:24:53.715; 3.0892E-07
3/22/2021;12:24:53.718; 3.0884E-07
3/22/2021;12:24:53.720; 3.0854E-07
3/22/2021;12:24:53.723; 3.0789E-07
3/22/2021;12:24:53.726; 3.0759E-07
3/22/2021;12:24:53.728; 3.1184E-07
3/22/2021;12:24:53.731; 3.1055E-07
3/22/2021;12:24:53.734; 3.0641E-07
3/22/2021;12:24:53.736; 3.1412E-07
3/22/2021;12:24:53.739; 3.0983E-07
3/22/2021;12:24:53.742; 3.0835E-07
3/22/2021;12:24:53.744; 3.077E-07
3/22/2021;12:24:53.747; 3.1044E-07
3/22/2021;12:24:53.750; 3.1283E-07
3/22/2021;12:24:53.752; 3.0672E-07
3/22/2021;12:24:53.757; 3.1196E-07
3/22/2021;12:24:53.760; 3.0706E-07
3/22/2021;12:24:53.763; 3.0675E-07
3/22/2021;12:24:53.765; 3.0732E-07
3/22/2021;12:24:53.768; 3.0839E-07
3/22/2021;12:24:53.771; 3.047E-07
3/22/2021;12:24:53.773; 3.1439E-07
3/22/2021;12:24:53.776; 3.0588E-07
3/22/2021;12:24:53.779; 3.0945E-07
3/22/2021;12:24:53.781; 3.077E-07
3/22/2021;12:24:53.784; 3.118E-07
3/22/2021;12:24:53.787; 3.1029E-07
3/22/2021;12:24:53.789; 3.0884E-07
3/22/2021;12:24:53.792; 3.1386E-07
3/22/2021;12:24:53.795; 3.0725E-07
3/22/2021;12:24:53.797; 3.1234E-07
3/22/2021;12:24:53.800; 3.0687E-07
3/22/2021;12:24:53.803; 3.1196E-07
3/22/2021;12:24:53.808; 3.0569E-07
3/22/2021;12:24:53.810; 3.0972E-07
3/22/2021;12:24:53.813; 3.0892E-07
3/22/2021;12:24:53.816; 3.0816E-07
3/22/2021;12:24:53.818; 3.0766E-07
3/22/2021;12:24:53.821; 3.047E-07
3/22/2021;12:24:53.824; 3.0918E-07
3/22/2021;12:24:53.826; 3.0561E-07
3/22/2021;12:24:53.829; 3.1291E-07
3/22/2021;12:24:53.832; 3.0508E-07
3/22/2021;12:24:53.834; 3.1359E-07
3/22/2021;12:24:53.837; 3.0637E-07
3/22/2021;12:24:53.840; 3.1021E-07
3/22/2021;12:24:53.842; 3.0691E-07
3/22/2021;12:24:53.845; 3.0751E-07
3/22/2021;12:24:53.848; 3.1237E-07
3/22/2021;12:24:53.850; 3.0869E-07
3/22/2021;12:24:53.853; 3.1184E-07
3/22/2021;12:24:53.858; 3.0983E-07
3/22/2021;12:24:53.860; 3.082E-07
3/22/2021;12:24:53.863; 3.0615E-07
3/22/2021;12:24:53.865; 3.0744E-07
3/22/2021;12:24:53.868; 3.0991E-07
3/22/2021;12:24:53.871; 3.0736E-07
3/22/2021;12:24:53.873; 3.0808E-07
3/22/2021;12:24:53.876; 3.055E-07
3/22/2021;12:24:53.879; 3.1374E-07
3/22/2021;12:24:53.881; 3.0744E-07
3/22/2021;12:24:53.884; 3.1154E-07
3/22/2021;12:24:53.887; 3.0911E-07
3/22/2021;12:24:53.889; 3.1032E-07
3/22/2021;12:24:53.892; 3.1344E-07
3/22/2021;12:24:53.895; 3.1173E-07
3/22/2021;12:24:53.897; 3.0842E-07
3/22/2021;12:24:53.900; 3.0991E-07
3/22/2021;12:24:53.903; 3.1013E-07
3/22/2021;12:24:53.907; 3.1108E-07
3/22/2021;12:24:53.909; 3.0694E-07
3/22/2021;12:24:53.912; 3.0672E-07
3/22/2021;12:24:53.915; 3.1169E-07
3/22/2021;12:24:53.917; 3.0903E-07
3/22/2021;12:24:53.920; 3.1063E-07
3/22/2021;12:24:53.923; 3.1067E-07
3/22/2021;12:24:53.925; 3.0774E-07
3/22/2021;12:24:53.928; 3.1469E-07
3/22/2021;12:24:53.931; 3.0835E-07
3/22/2021;12:24:53.934; 3.1272E-07
3/22/2021;12:24:53.936; 3.1017E-07
3/22/2021;12:24:53.939; 3.082E-07
3/22/2021;12:24:53.942; 3.1196E-07
3/22/2021;12:24:53.944; 3.1021E-07
3/22/2021;12:24:53.947; 3.0691E-07
3/22/2021;12:24:53.950; 3.0656E-07
3/22/2021;12:24:53.952; 3.1203E-07
3/22/2021;12:24:53.955; 3.0873E-07
3/22/2021;12:24:53.961; 3.096E-07
3/22/2021;12:24:53.964; 3.1313E-07
3/22/2021;12:24:53.967; 3.1139E-07
3/22/2021;12:24:53.969; 3.0721E-07
3/22/2021;12:24:53.972; 3.1564E-07
3/22/2021;12:24:53.975; 3.0501E-07
3/22/2021;12:24:53.977; 3.1499E-07
3/22/2021;12:24:53.980; 3.0717E-07
3/22/2021;12:24:53.983; 3.123E-07
3/22/2021;12:24:53.985; 3.0668E-07
3/22/2021;12:24:53.988; 3.1017E-07
3/22/2021;12:24:53.991; 3.0736E-07
3/22/2021;12:24:53.993; 3.0778E-07
3/22/2021;12:24:53.996; 3.0888E-07
3/22/2021;12:24:53.999; 3.0546E-07
3/22/2021;12:24:54.001; 3.1336E-07
3/22/2021;12:24:54.004; 3.0379E-07
3/22/2021;12:24:54.008; 3.0865E-07
3/22/2021;12:24:54.010; 3.104E-07
3/22/2021;12:24:54.013; 3.1439E-07
3/22/2021;12:24:54.016; 3.0622E-07
3/22/2021;12:24:54.018; 3.1355E-07
3/22/2021;12:24:54.021; 3.0915E-07
3/22/2021;12:24:54.024; 3.0869E-07
3/22/2021;12:24:54.026; 3.0953E-07
3/22/2021;12:24:54.029; 3.1074E-07
3/22/2021;12:24:54.032; 3.0808E-07
3/22/2021;12:24:54.034; 3.0607E-07
3/22/2021;12:24:54.037; 3.0896E-07
3/22/2021;12:24:54.040; 3.1321E-07
3/22/2021;12:24:54.042; 3.0698E-07
3/22/2021;12:24:54.045; 3.1215E-07
3/22/2021;12:24:54.048; 3.0789E-07
3/22/2021;12:24:54.050; 3.0918E-07
3/22/2021;12:24:54.053; 3.0972E-07
3/22/2021;12:24:54.056; 3.0732E-07
