Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 633

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

3/22/2021;13:28:24.729; 1.6829E-08
3/22/2021;13:28:24.732; 1.4425E-08
3/22/2021;13:28:24.735; 1.5951E-08
3/22/2021;13:28:24.737; 1.3166E-08
3/22/2021;13:28:24.740; 1.1258E-08
3/22/2021;13:28:24.743; 1.8012E-08
3/22/2021;13:28:24.745; 1.1944E-08
3/22/2021;13:28:24.748; 1.7516E-08
3/22/2021;13:28:24.751; 1.2135E-08
3/22/2021;13:28:24.753; 1.557E-08
3/22/2021;13:28:24.756; 1.0418E-08
3/22/2021;13:28:24.759; 1.6219E-08
3/22/2021;13:28:24.761; 1.847E-08
3/22/2021;13:28:24.768; 1.2822E-08
3/22/2021;13:28:24.770; 1.7058E-08
3/22/2021;13:28:24.773; 1.3891E-08
3/22/2021;13:28:24.775; 1.4501E-08
3/22/2021;13:28:24.778; 1.1754E-08
3/22/2021;13:28:24.781; 1.5341E-08
3/22/2021;13:28:24.784; 1.7859E-08
3/22/2021;13:28:24.798; 1.5455E-08
3/22/2021;13:28:24.803; 1.5112E-08
3/22/2021;13:28:24.806; 1.6371E-08
3/22/2021;13:28:24.809; 1.9386E-08
3/22/2021;13:28:24.811; 1.1868E-08
3/22/2021;13:28:24.815; 1.5188E-08
3/22/2021;13:28:24.818; 1.8356E-08
3/22/2021;13:28:24.821; 1.557E-08
3/22/2021;13:28:24.823; 1.9729E-08
3/22/2021;13:28:24.826; 1.2479E-08
3/22/2021;13:28:24.829; 1.4807E-08
3/22/2021;13:28:24.831; 1.66E-08
3/22/2021;13:28:24.834; 1.931E-08
3/22/2021;13:28:24.837; 1.4196E-08
3/22/2021;13:28:24.839; 1.4807E-08
3/22/2021;13:28:24.842; 1.7821E-08
3/22/2021;13:28:24.845; 1.9271E-08
3/22/2021;13:28:24.847; 1.2173E-08
3/22/2021;13:28:24.850; 1.5226E-08
3/22/2021;13:28:24.853; 1.9119E-08
3/22/2021;13:28:24.855; 1.1258E-08
3/22/2021;13:28:24.858; 1.7249E-08
3/22/2021;13:28:24.861; 1.6486E-08
3/22/2021;13:28:24.863; 1.7669E-08
3/22/2021;13:28:24.866; 1.2059E-08
3/22/2021;13:28:24.869; 1.8508E-08
3/22/2021;13:28:24.871; 1.6142E-08
3/22/2021;13:28:24.874; 1.7096E-08
3/22/2021;13:28:24.877; 1.0571E-08
3/22/2021;13:28:24.879; 1.6638E-08
3/22/2021;13:28:24.882; 1.8241E-08
3/22/2021;13:28:24.885; 1.431E-08
3/22/2021;13:28:24.887; 1.3853E-08
3/22/2021;13:28:24.890; 1.9157E-08
3/22/2021;13:28:24.893; 1.7821E-08
3/22/2021;13:28:24.895; 1.702E-08
3/22/2021;13:28:24.898; 1.2135E-08
3/22/2021;13:28:24.901; 1.8775E-08
3/22/2021;13:28:24.903; 1.8508E-08
3/22/2021;13:28:24.906; 1.4883E-08
3/22/2021;13:28:24.908; 1.4578E-08
3/22/2021;13:28:24.912; 1.4768E-08
3/22/2021;13:28:24.917; 1.5875E-08
3/22/2021;13:28:24.919; 1.2479E-08
3/22/2021;13:28:24.922; 1.9271E-08
3/22/2021;13:28:24.925; 1.4425E-08
3/22/2021;13:28:24.927; 1.702E-08
3/22/2021;13:28:24.930; 1.6524E-08
3/22/2021;13:28:24.933; 1.847E-08
3/22/2021;13:28:24.935; 1.3089E-08
3/22/2021;13:28:24.938; 1.4921E-08
3/22/2021;13:28:24.941; 1.7707E-08
3/22/2021;13:28:24.943; 1.6409E-08
3/22/2021;13:28:24.946; 1.3051E-08
3/22/2021;13:28:24.949; 1.3853E-08
3/22/2021;13:28:24.951; 1.473E-08
3/22/2021;13:28:24.954; 1.3814E-08
3/22/2021;13:28:24.957; 1.2059E-08
3/22/2021;13:28:24.959; 1.5799E-08
3/22/2021;13:28:24.962; 1.6791E-08
3/22/2021;13:28:24.968; 1.2288E-08
3/22/2021;13:28:24.971; 1.5036E-08
3/22/2021;13:28:24.974; 2.0645E-08
3/22/2021;13:28:24.976; 1.2479E-08
3/22/2021;13:28:24.979; 1.4196E-08
3/22/2021;13:28:24.982; 1.599E-08
3/22/2021;13:28:24.984; 1.5417E-08
3/22/2021;13:28:24.987; 1.5265E-08
3/22/2021;13:28:24.990; 1.805E-08
3/22/2021;13:28:24.992; 1.8394E-08
3/22/2021;13:28:24.995; 1.3814E-08
3/22/2021;13:28:24.998; 1.3967E-08
3/22/2021;13:28:25.000; 1.8928E-08
