Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 775

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

3/22/2021;14:51:39.274; 1.1787E-08
3/22/2021;14:51:39.277; 1.3523E-08
3/22/2021;14:51:39.279; 1.4925E-08
3/22/2021;14:51:39.282; 1.2154E-08
3/22/2021;14:51:39.286; 1.566E-08
3/22/2021;14:51:39.289; 1.1353E-08
3/22/2021;14:51:39.291; 1.6194E-08
3/22/2021;14:51:39.294; 1.3857E-08
3/22/2021;14:51:39.297; 1.4758E-08
3/22/2021;14:51:39.299; 1.753E-08
3/22/2021;14:51:39.302; 1.192E-08
3/22/2021;14:51:39.305; 1.6762E-08
3/22/2021;14:51:39.307; 1.1152E-08
3/22/2021;14:51:39.310; 1.3356E-08
3/22/2021;14:51:39.313; 1.6461E-08
3/22/2021;14:51:39.315; 8.6146E-09
3/22/2021;14:51:39.318; 1.7897E-08
3/22/2021;14:51:39.321; 1.5159E-08
3/22/2021;14:51:39.323; 1.4658E-08
3/22/2021;14:51:39.326; 1.2521E-08
3/22/2021;14:51:39.329; 1.4758E-08
3/22/2021;14:51:39.331; 1.576E-08
3/22/2021;14:51:39.336; 1.5426E-08
3/22/2021;14:51:39.338; 1.2989E-08
3/22/2021;14:51:39.341; 1.2087E-08
3/22/2021;14:51:39.344; 1.202E-08
3/22/2021;14:51:39.346; 1.7229E-08
3/22/2021;14:51:39.349; 1.3089E-08
3/22/2021;14:51:39.352; 1.6795E-08
3/22/2021;14:51:39.354; 1.0918E-08
3/22/2021;14:51:39.357; 1.2788E-08
3/22/2021;14:51:39.360; 1.6194E-08
3/22/2021;14:51:39.362; 1.3022E-08
3/22/2021;14:51:39.365; 1.6661E-08
3/22/2021;14:51:39.368; 1.1686E-08
3/22/2021;14:51:39.370; 1.5059E-08
3/22/2021;14:51:39.373; 1.2488E-08
3/22/2021;14:51:39.376; 1.4324E-08
3/22/2021;14:51:39.378; 1.566E-08
3/22/2021;14:51:39.381; 1.2388E-08
