Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 775

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

3/22/2021;13:34:47.163; 1.1019E-08
3/22/2021;13:34:47.166; 1.4157E-08
3/22/2021;13:34:47.170; 1.1686E-08
3/22/2021;13:34:47.172; 1.5459E-08
3/22/2021;13:34:47.175; 1.4224E-08
3/22/2021;13:34:47.178; 1.4124E-08
3/22/2021;13:34:47.180; 1.3723E-08
3/22/2021;13:34:47.183; 1.2388E-08
3/22/2021;13:34:47.186; 1.3289E-08
3/22/2021;13:34:47.188; 1.5827E-08
3/22/2021;13:34:47.191; 1.3022E-08
3/22/2021;13:34:47.194; 1.6862E-08
3/22/2021;13:34:47.196; 1.2454E-08
3/22/2021;13:34:47.199; 1.2521E-08
3/22/2021;13:34:47.202; 2E-08
3/22/2021;13:34:47.206; 1.2722E-08
3/22/2021;13:34:47.208; 1.3022E-08
3/22/2021;13:34:47.211; 1.6261E-08
3/22/2021;13:34:47.214; 1.3323E-08
3/22/2021;13:34:47.216; 1.5126E-08
3/22/2021;13:34:47.219; 1.5226E-08
3/22/2021;13:34:47.221; 1.3089E-08
3/22/2021;13:34:47.224; 1.9032E-08
3/22/2021;13:34:47.227; 1.3189E-08
3/22/2021;13:34:47.229; 1.8899E-08
3/22/2021;13:34:47.232; 1.389E-08
3/22/2021;13:34:47.235; 8.481E-09
3/22/2021;13:34:47.237; 1.5459E-08
3/22/2021;13:34:47.240; 1.4124E-08
3/22/2021;13:34:47.243; 1.8765E-08
3/22/2021;13:34:47.245; 1.0651E-08
3/22/2021;13:34:47.248; 1.6695E-08
3/22/2021;13:34:47.251; 1.6394E-08
3/22/2021;13:34:47.256; 1.0117E-08
3/22/2021;13:34:47.258; 1.7964E-08
3/22/2021;13:34:47.261; 1.172E-08
3/22/2021;13:34:47.264; 1.2788E-08
3/22/2021;13:34:47.266; 1.3389E-08
3/22/2021;13:34:47.269; 1.399E-08
3/22/2021;13:34:47.272; 1.2087E-08
3/22/2021;13:34:47.274; 1.7964E-08
3/22/2021;13:34:47.277; 1.1319E-08
3/22/2021;13:34:47.280; 1.7897E-08
3/22/2021;13:34:47.282; 1.3456E-08
3/22/2021;13:34:47.285; 1.2621E-08
3/22/2021;13:34:47.288; 1.3055E-08
3/22/2021;13:34:47.290; 1.6661E-08
3/22/2021;13:34:47.293; 1.7229E-08
3/22/2021;13:34:47.296; 1.2755E-08
3/22/2021;13:34:47.298; 1.556E-08
3/22/2021;13:34:47.301; 1.369E-08
3/22/2021;13:34:47.304; 1.4391E-08
3/22/2021;13:34:47.306; 1.7964E-08
3/22/2021;13:34:47.309; 1.2187E-08
3/22/2021;13:34:47.312; 1.596E-08
3/22/2021;13:34:47.314; 1.1686E-08
3/22/2021;13:34:47.317; 1.4291E-08
3/22/2021;13:34:47.320; 1.3356E-08
3/22/2021;13:34:47.322; 1.4558E-08
3/22/2021;13:34:47.325; 1.8631E-08
3/22/2021;13:34:47.328; 1.1119E-08
3/22/2021;13:34:47.330; 1.2521E-08
3/22/2021;13:34:47.333; 1.6762E-08
3/22/2021;13:34:47.336; 1.3456E-08
3/22/2021;13:34:47.338; 1.6828E-08
3/22/2021;13:34:47.341; 1.359E-08
3/22/2021;13:34:47.344; 1.5259E-08
3/22/2021;13:34:47.346; 1.6862E-08
3/22/2021;13:34:47.349; 1.2488E-08
3/22/2021;13:34:47.352; 1.9166E-08
3/22/2021;13:34:47.358; 1.2254E-08
3/22/2021;13:34:47.360; 1.1586E-08
3/22/2021;13:34:47.363; 1.4658E-08
3/22/2021;13:34:47.366; 1.8064E-08
3/22/2021;13:34:47.368; 1.4992E-08
3/22/2021;13:34:47.371; 1.4591E-08
3/22/2021;13:34:47.374; 1.7196E-08
3/22/2021;13:34:47.376; 1.3523E-08
3/22/2021;13:34:47.379; 1.7897E-08
3/22/2021;13:34:47.382; 1.2087E-08
3/22/2021;13:34:47.384; 1.3289E-08
3/22/2021;13:34:47.387; 1.369E-08
3/22/2021;13:34:47.390; 1.7396E-08
3/22/2021;13:34:47.392; 1.3623E-08
3/22/2021;13:34:47.395; 1.3389E-08
3/22/2021;13:34:47.398; 1.3757E-08
3/22/2021;13:34:47.400; 1.2955E-08
3/22/2021;13:34:47.404; 1.5827E-08
3/22/2021;13:34:47.407; 1.2221E-08
3/22/2021;13:34:47.410; 1.3189E-08
3/22/2021;13:34:47.412; 1.399E-08
3/22/2021;13:34:47.415; 1.2989E-08
3/22/2021;13:34:47.418; 1.4358E-08
3/22/2021;13:34:47.420; 1.783E-08
3/22/2021;13:34:47.423; 1.1586E-08
