Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 640

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

4/8/2021;14:19:32.786; 1.37E-07
4/8/2021;14:19:32.789; 1.3716E-07
4/8/2021;14:19:32.791; 1.3741E-07
4/8/2021;14:19:32.794; 1.3689E-07
4/8/2021;14:19:32.798; 1.3697E-07
4/8/2021;14:19:32.801; 1.3717E-07
4/8/2021;14:19:32.804; 1.3709E-07
4/8/2021;14:19:32.806; 1.3728E-07
4/8/2021;14:19:32.809; 1.3694E-07
4/8/2021;14:19:32.812; 1.3703E-07
4/8/2021;14:19:32.814; 1.3691E-07
4/8/2021;14:19:32.817; 1.3706E-07
4/8/2021;14:19:32.820; 1.3691E-07
4/8/2021;14:19:32.822; 1.3748E-07
4/8/2021;14:19:32.825; 1.3749E-07
4/8/2021;14:19:32.828; 1.3745E-07
4/8/2021;14:19:32.830; 1.37E-07
4/8/2021;14:19:32.833; 1.3692E-07
4/8/2021;14:19:32.836; 1.3659E-07
4/8/2021;14:19:32.838; 1.3711E-07
4/8/2021;14:19:32.841; 1.3727E-07
4/8/2021;14:19:32.844; 1.3755E-07
4/8/2021;14:19:32.849; 1.3746E-07
4/8/2021;14:19:32.851; 1.3713E-07
4/8/2021;14:19:32.854; 1.3693E-07
4/8/2021;14:19:32.857; 1.3728E-07
4/8/2021;14:19:32.859; 1.3726E-07
4/8/2021;14:19:32.862; 1.379E-07
4/8/2021;14:19:32.865; 1.381E-07
4/8/2021;14:19:32.867; 1.3815E-07
4/8/2021;14:19:32.870; 1.3806E-07
4/8/2021;14:19:32.873; 1.3803E-07
4/8/2021;14:19:32.875; 1.3824E-07
4/8/2021;14:19:32.878; 1.3824E-07
4/8/2021;14:19:32.881; 1.389E-07
4/8/2021;14:19:32.883; 1.3834E-07
4/8/2021;14:19:32.886; 1.3888E-07
4/8/2021;14:19:32.889; 1.3806E-07
4/8/2021;14:19:32.891; 1.382E-07
4/8/2021;14:19:32.894; 1.3787E-07
4/8/2021;14:19:32.900; 1.3789E-07
4/8/2021;14:19:32.903; 1.3748E-07
4/8/2021;14:19:32.905; 1.3748E-07
4/8/2021;14:19:32.908; 1.3743E-07
4/8/2021;14:19:32.911; 1.3704E-07
4/8/2021;14:19:32.913; 1.3738E-07
4/8/2021;14:19:32.916; 1.3721E-07
4/8/2021;14:19:32.919; 1.3758E-07
4/8/2021;14:19:32.921; 1.3729E-07
4/8/2021;14:19:32.924; 1.3755E-07
4/8/2021;14:19:32.927; 1.373E-07
4/8/2021;14:19:32.929; 1.3801E-07
4/8/2021;14:19:32.932; 1.3732E-07
4/8/2021;14:19:32.935; 1.3807E-07
4/8/2021;14:19:32.937; 1.3794E-07
4/8/2021;14:19:32.940; 1.3789E-07
4/8/2021;14:19:32.943; 1.3779E-07
4/8/2021;14:19:32.945; 1.3785E-07
4/8/2021;14:19:32.948; 1.3803E-07
4/8/2021;14:19:32.951; 1.3747E-07
4/8/2021;14:19:32.953; 1.3799E-07
4/8/2021;14:19:32.956; 1.375E-07
4/8/2021;14:19:32.959; 1.3808E-07
4/8/2021;14:19:32.961; 1.3763E-07
4/8/2021;14:19:32.964; 1.3755E-07
4/8/2021;14:19:32.967; 1.3793E-07
4/8/2021;14:19:32.972; 1.3765E-07
4/8/2021;14:19:32.975; 1.3763E-07
4/8/2021;14:19:32.978; 1.3793E-07
4/8/2021;14:19:32.980; 1.3826E-07
4/8/2021;14:19:32.983; 1.3794E-07
4/8/2021;14:19:32.986; 1.3817E-07
4/8/2021;14:19:32.988; 1.3754E-07
4/8/2021;14:19:32.991; 1.3804E-07
4/8/2021;14:19:32.994; 1.3825E-07
4/8/2021;14:19:32.998; 1.3806E-07
4/8/2021;14:19:33.000; 1.3814E-07
4/8/2021;14:19:33.003; 1.3811E-07
4/8/2021;14:19:33.006; 1.3756E-07
4/8/2021;14:19:33.008; 1.3759E-07
4/8/2021;14:19:33.011; 1.3772E-07
4/8/2021;14:19:33.014; 1.3736E-07
4/8/2021;14:19:33.016; 1.3812E-07
4/8/2021;14:19:33.019; 1.376E-07
4/8/2021;14:19:33.022; 1.376E-07
4/8/2021;14:19:33.024; 1.3727E-07
4/8/2021;14:19:33.027; 1.3784E-07
4/8/2021;14:19:33.030; 1.3748E-07
4/8/2021;14:19:33.034; 1.3767E-07
4/8/2021;14:19:33.037; 1.3716E-07
4/8/2021;14:19:33.040; 1.3752E-07
4/8/2021;14:19:33.042; 1.376E-07
4/8/2021;14:19:33.046; 1.377E-07
4/8/2021;14:19:33.049; 1.3747E-07
4/8/2021;14:19:33.051; 1.3803E-07
4/8/2021;14:19:33.054; 1.3789E-07
4/8/2021;14:19:33.057; 1.3779E-07
4/8/2021;14:19:33.059; 1.3817E-07
4/8/2021;14:19:33.062; 1.3811E-07
4/8/2021;14:19:33.065; 1.3868E-07
4/8/2021;14:19:33.067; 1.3811E-07
4/8/2021;14:19:33.070; 1.3863E-07
4/8/2021;14:19:33.073; 1.3807E-07
4/8/2021;14:19:33.075; 1.3869E-07
4/8/2021;14:19:33.078; 1.3809E-07
4/8/2021;14:19:33.081; 1.385E-07
4/8/2021;14:19:33.083; 1.3797E-07
4/8/2021;14:19:33.086; 1.3786E-07
4/8/2021;14:19:33.089; 1.3791E-07
4/8/2021;14:19:33.091; 1.3774E-07
4/8/2021;14:19:33.094; 1.3792E-07
4/8/2021;14:19:33.100; 1.3773E-07
4/8/2021;14:19:33.103; 1.3763E-07
4/8/2021;14:19:33.105; 1.3759E-07
4/8/2021;14:19:33.108; 1.3735E-07
4/8/2021;14:19:33.111; 1.3735E-07
4/8/2021;14:19:33.113; 1.3751E-07
4/8/2021;14:19:33.116; 1.3766E-07
4/8/2021;14:19:33.119; 1.3776E-07
4/8/2021;14:19:33.121; 1.3772E-07
4/8/2021;14:19:33.124; 1.3759E-07
4/8/2021;14:19:33.127; 1.3722E-07
4/8/2021;14:19:33.129; 1.3785E-07
4/8/2021;14:19:33.132; 1.3733E-07
4/8/2021;14:19:33.135; 1.3807E-07
4/8/2021;14:19:33.137; 1.3795E-07
4/8/2021;14:19:33.140; 1.3775E-07
4/8/2021;14:19:33.143; 1.3761E-07
4/8/2021;14:19:33.147; 1.3749E-07
4/8/2021;14:19:33.149; 1.3768E-07
4/8/2021;14:19:33.152; 1.3827E-07
4/8/2021;14:19:33.154; 1.384E-07
4/8/2021;14:19:33.157; 1.3836E-07
4/8/2021;14:19:33.160; 1.3861E-07
4/8/2021;14:19:33.162; 1.3803E-07
4/8/2021;14:19:33.165; 1.3816E-07
4/8/2021;14:19:33.168; 1.3832E-07
4/8/2021;14:19:33.170; 1.3854E-07
4/8/2021;14:19:33.173; 1.3819E-07
4/8/2021;14:19:33.176; 1.3808E-07
4/8/2021;14:19:33.179; 1.3719E-07
4/8/2021;14:19:33.181; 1.375E-07
4/8/2021;14:19:33.184; 1.3697E-07
4/8/2021;14:19:33.187; 1.3677E-07
4/8/2021;14:19:33.189; 1.3739E-07
4/8/2021;14:19:33.192; 1.3684E-07
4/8/2021;14:19:33.197; 1.3739E-07
4/8/2021;14:19:33.200; 1.3698E-07
4/8/2021;14:19:33.202; 1.3766E-07
4/8/2021;14:19:33.205; 1.3749E-07
4/8/2021;14:19:33.207; 1.3802E-07
4/8/2021;14:19:33.210; 1.3758E-07
4/8/2021;14:19:33.213; 1.3816E-07
4/8/2021;14:19:33.216; 1.3803E-07
4/8/2021;14:19:33.218; 1.3802E-07
4/8/2021;14:19:33.221; 1.3816E-07
4/8/2021;14:19:33.224; 1.3822E-07
4/8/2021;14:19:33.227; 1.3805E-07
4/8/2021;14:19:33.230; 1.3778E-07
4/8/2021;14:19:33.233; 1.379E-07
4/8/2021;14:19:33.235; 1.3763E-07
4/8/2021;14:19:33.238; 1.3749E-07
4/8/2021;14:19:33.241; 1.3759E-07
4/8/2021;14:19:33.244; 1.3794E-07
4/8/2021;14:19:33.246; 1.3756E-07
4/8/2021;14:19:33.249; 1.3763E-07
4/8/2021;14:19:33.252; 1.3721E-07
4/8/2021;14:19:33.254; 1.3767E-07
4/8/2021;14:19:33.257; 1.3724E-07
4/8/2021;14:19:33.260; 1.3773E-07
4/8/2021;14:19:33.262; 1.3747E-07
4/8/2021;14:19:33.265; 1.3828E-07
4/8/2021;14:19:33.268; 1.3746E-07
4/8/2021;14:19:33.270; 1.3749E-07
4/8/2021;14:19:33.273; 1.3724E-07
4/8/2021;14:19:33.276; 1.3751E-07
4/8/2021;14:19:33.278; 1.3721E-07
4/8/2021;14:19:33.281; 1.3702E-07
4/8/2021;14:19:33.284; 1.3757E-07
4/8/2021;14:19:33.289; 1.3691E-07
4/8/2021;14:19:33.291; 1.3748E-07
4/8/2021;14:19:33.294; 1.3662E-07
4/8/2021;14:19:33.300; 1.3745E-07
4/8/2021;14:19:33.303; 1.3718E-07
4/8/2021;14:19:33.305; 1.3738E-07
4/8/2021;14:19:33.308; 1.374E-07
4/8/2021;14:19:33.311; 1.3755E-07
4/8/2021;14:19:33.314; 1.3739E-07
4/8/2021;14:19:33.317; 1.3733E-07
4/8/2021;14:19:33.319; 1.3783E-07
4/8/2021;14:19:33.322; 1.3762E-07
4/8/2021;14:19:33.325; 1.3791E-07
4/8/2021;14:19:33.328; 1.3739E-07
4/8/2021;14:19:33.331; 1.3781E-07
4/8/2021;14:19:33.333; 1.3796E-07
4/8/2021;14:19:33.336; 1.3784E-07
4/8/2021;14:19:33.339; 1.3819E-07
4/8/2021;14:19:33.341; 1.3861E-07
4/8/2021;14:19:33.344; 1.3838E-07
4/8/2021;14:19:33.348; 1.3797E-07
4/8/2021;14:19:33.351; 1.3838E-07
4/8/2021;14:19:33.354; 1.3813E-07
4/8/2021;14:19:33.357; 1.3829E-07
4/8/2021;14:19:33.360; 1.3793E-07
4/8/2021;14:19:33.362; 1.38E-07
4/8/2021;14:19:33.365; 1.3747E-07
4/8/2021;14:19:33.368; 1.376E-07
4/8/2021;14:19:33.370; 1.3725E-07
4/8/2021;14:19:33.373; 1.3749E-07
4/8/2021;14:19:33.376; 1.376E-07
4/8/2021;14:19:33.378; 1.372E-07
4/8/2021;14:19:33.381; 1.372E-07
4/8/2021;14:19:33.384; 1.37E-07
4/8/2021;14:19:33.386; 1.3751E-07
4/8/2021;14:19:33.389; 1.3739E-07
4/8/2021;14:19:33.392; 1.3829E-07
4/8/2021;14:19:33.394; 1.3816E-07
4/8/2021;14:19:33.399; 1.3853E-07
4/8/2021;14:19:33.401; 1.3831E-07
4/8/2021;14:19:33.404; 1.3822E-07
4/8/2021;14:19:33.406; 1.3781E-07
4/8/2021;14:19:33.409; 1.3818E-07
4/8/2021;14:19:33.412; 1.3783E-07
4/8/2021;14:19:33.414; 1.3769E-07
4/8/2021;14:19:33.417; 1.3738E-07
