Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 561

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

4/8/2021;14:38:13.326; 8.9062E-08
4/8/2021;14:38:13.330; 9.0313E-08
4/8/2021;14:38:13.335; 8.4621E-08
4/8/2021;14:38:13.338; 8.7851E-08
4/8/2021;14:38:13.341; 8.8456E-08
4/8/2021;14:38:13.343; 8.4096E-08
4/8/2021;14:38:13.346; 8.6195E-08
4/8/2021;14:38:13.349; 9.0515E-08
4/8/2021;14:38:13.351; 8.6357E-08
4/8/2021;14:38:13.354; 8.345E-08
4/8/2021;14:38:13.357; 8.5347E-08
4/8/2021;14:38:13.359; 8.5388E-08
4/8/2021;14:38:13.362; 8.8133E-08
4/8/2021;14:38:13.365; 8.7407E-08
4/8/2021;14:38:13.369; 8.6599E-08
4/8/2021;14:38:13.371; 8.882E-08
4/8/2021;14:38:13.374; 8.4419E-08
4/8/2021;14:38:13.377; 9.3664E-08
4/8/2021;14:38:13.380; 8.7407E-08
4/8/2021;14:38:13.383; 8.7891E-08
4/8/2021;14:38:13.387; 8.5186E-08
4/8/2021;14:38:13.391; 9.1646E-08
4/8/2021;14:38:13.394; 8.5711E-08
4/8/2021;14:38:13.397; 8.777E-08
4/8/2021;14:38:13.399; 8.9627E-08
4/8/2021;14:38:13.402; 8.4096E-08
4/8/2021;14:38:13.405; 9.1242E-08
4/8/2021;14:38:13.407; 8.4217E-08
4/8/2021;14:38:13.410; 9.1242E-08
4/8/2021;14:38:13.413; 8.3854E-08
4/8/2021;14:38:13.415; 9.0556E-08
4/8/2021;14:38:13.419; 8.882E-08
4/8/2021;14:38:13.422; 8.5872E-08
4/8/2021;14:38:13.424; 8.4702E-08
4/8/2021;14:38:13.442; 8.6559E-08
4/8/2021;14:38:13.444; 8.7407E-08
4/8/2021;14:38:13.447; 8.6195E-08
4/8/2021;14:38:13.450; 9.0313E-08
4/8/2021;14:38:13.452; 8.6518E-08
4/8/2021;14:38:13.455; 8.882E-08
4/8/2021;14:38:13.458; 8.5751E-08
4/8/2021;14:38:13.461; 8.781E-08
4/8/2021;14:38:13.463; 8.9183E-08
4/8/2021;14:38:13.466; 8.6357E-08
4/8/2021;14:38:13.472; 8.999E-08
4/8/2021;14:38:13.475; 8.8698E-08
4/8/2021;14:38:13.477; 8.8295E-08
4/8/2021;14:38:13.480; 8.9264E-08
4/8/2021;14:38:13.483; 9.1282E-08
4/8/2021;14:38:13.485; 8.8254E-08
4/8/2021;14:38:13.488; 8.5025E-08
4/8/2021;14:38:13.491; 8.8214E-08
4/8/2021;14:38:13.493; 8.5388E-08
4/8/2021;14:38:13.496; 8.3854E-08
4/8/2021;14:38:13.499; 8.672E-08
4/8/2021;14:38:13.501; 8.5953E-08
4/8/2021;14:38:13.504; 8.6882E-08
4/8/2021;14:38:13.507; 8.454E-08
4/8/2021;14:38:13.511; 9.104E-08
4/8/2021;14:38:13.515; 8.7649E-08
4/8/2021;14:38:13.519; 8.7447E-08
4/8/2021;14:38:13.521; 8.5993E-08
4/8/2021;14:38:13.524; 8.991E-08
4/8/2021;14:38:13.527; 8.5953E-08
4/8/2021;14:38:13.529; 8.7245E-08
4/8/2021;14:38:13.532; 8.7326E-08
4/8/2021;14:38:13.535; 8.6841E-08
4/8/2021;14:38:13.537; 9.0717E-08
4/8/2021;14:38:13.540; 8.5711E-08
4/8/2021;14:38:13.543; 8.4944E-08
4/8/2021;14:38:13.545; 8.5105E-08
4/8/2021;14:38:13.548; 8.5105E-08
4/8/2021;14:38:13.551; 9.3301E-08
4/8/2021;14:38:13.553; 8.2198E-08
4/8/2021;14:38:13.556; 9.1444E-08
4/8/2021;14:38:13.559; 8.8416E-08
4/8/2021;14:38:13.561; 8.7407E-08
4/8/2021;14:38:13.564; 8.991E-08
4/8/2021;14:38:13.567; 8.6882E-08
4/8/2021;14:38:13.569; 9.0596E-08
4/8/2021;14:38:13.572; 8.9385E-08
4/8/2021;14:38:13.575; 8.567E-08
4/8/2021;14:38:13.577; 8.6518E-08
4/8/2021;14:38:13.580; 8.4177E-08
4/8/2021;14:38:13.583; 9.4431E-08
4/8/2021;14:38:13.585; 8.563E-08
4/8/2021;14:38:13.588; 8.5832E-08
4/8/2021;14:38:13.591; 8.5146E-08
4/8/2021;14:38:13.593; 8.3854E-08
4/8/2021;14:38:13.596; 9.1E-08
4/8/2021;14:38:13.599; 8.6962E-08
4/8/2021;14:38:13.601; 9.1767E-08
