Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 775

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

4/8/2021;14:44:34.741; 3.3293E-07
4/8/2021;14:44:34.744; 3.2648E-07
4/8/2021;14:44:34.747; 3.2905E-07
4/8/2021;14:44:34.749; 3.3149E-07
4/8/2021;14:44:34.752; 3.2505E-07
4/8/2021;14:44:34.755; 3.2735E-07
4/8/2021;14:44:34.757; 3.2595E-07
4/8/2021;14:44:34.761; 3.2862E-07
4/8/2021;14:44:34.764; 3.2902E-07
4/8/2021;14:44:34.766; 3.2942E-07
4/8/2021;14:44:34.769; 3.2996E-07
4/8/2021;14:44:34.772; 3.2365E-07
4/8/2021;14:44:34.774; 3.3056E-07
4/8/2021;14:44:34.777; 3.2662E-07
4/8/2021;14:44:34.780; 3.2785E-07
4/8/2021;14:44:34.782; 3.3129E-07
4/8/2021;14:44:34.785; 3.3029E-07
4/8/2021;14:44:34.788; 3.2852E-07
4/8/2021;14:44:34.790; 3.3026E-07
4/8/2021;14:44:34.792; 3.2802E-07
4/8/2021;14:44:34.795; 3.2785E-07
4/8/2021;14:44:34.802; 3.2568E-07
4/8/2021;14:44:34.806; 3.3122E-07
4/8/2021;14:44:34.810; 3.3122E-07
4/8/2021;14:44:34.813; 3.2725E-07
4/8/2021;14:44:34.816; 3.2725E-07
4/8/2021;14:44:34.818; 3.2815E-07
4/8/2021;14:44:34.821; 3.2952E-07
4/8/2021;14:44:34.824; 3.2996E-07
4/8/2021;14:44:34.826; 3.2692E-07
4/8/2021;14:44:34.829; 3.3032E-07
4/8/2021;14:44:34.832; 3.2915E-07
4/8/2021;14:44:34.834; 3.2735E-07
4/8/2021;14:44:34.837; 3.3112E-07
4/8/2021;14:44:34.840; 3.2915E-07
4/8/2021;14:44:34.842; 3.2638E-07
4/8/2021;14:44:34.845; 3.2642E-07
4/8/2021;14:44:34.848; 3.2625E-07
4/8/2021;14:44:34.850; 3.3193E-07
4/8/2021;14:44:34.853; 3.2992E-07
4/8/2021;14:44:34.856; 3.2789E-07
4/8/2021;14:44:34.861; 3.2478E-07
4/8/2021;14:44:34.863; 3.2652E-07
4/8/2021;14:44:34.866; 3.2892E-07
4/8/2021;14:44:34.869; 3.2655E-07
4/8/2021;14:44:34.871; 3.3156E-07
4/8/2021;14:44:34.874; 3.2558E-07
4/8/2021;14:44:34.877; 3.2708E-07
4/8/2021;14:44:34.879; 3.2922E-07
4/8/2021;14:44:34.882; 3.2692E-07
4/8/2021;14:44:34.885; 3.2996E-07
4/8/2021;14:44:34.887; 3.2835E-07
4/8/2021;14:44:34.890; 3.2552E-07
4/8/2021;14:44:34.893; 3.2915E-07
4/8/2021;14:44:34.895; 3.2698E-07
4/8/2021;14:44:34.898; 3.2986E-07
4/8/2021;14:44:34.901; 3.2882E-07
4/8/2021;14:44:34.904; 3.2728E-07
4/8/2021;14:44:34.906; 3.3209E-07
4/8/2021;14:44:34.910; 3.2925E-07
4/8/2021;14:44:34.913; 3.2976E-07
4/8/2021;14:44:34.915; 3.2952E-07
4/8/2021;14:44:34.918; 3.2779E-07
4/8/2021;14:44:34.921; 3.3089E-07
4/8/2021;14:44:34.931; 3.2772E-07
4/8/2021;14:44:34.935; 3.3126E-07
4/8/2021;14:44:34.937; 3.2875E-07
4/8/2021;14:44:34.940; 3.3039E-07
4/8/2021;14:44:34.943; 3.2772E-07
4/8/2021;14:44:34.945; 3.2638E-07
4/8/2021;14:44:34.948; 3.3259E-07
4/8/2021;14:44:34.951; 3.2855E-07
