 ,Area,Min,Max,X,Y,Major,Minor,Angle,IntDen,RawIntDen,Ch,Slice
1,0.138,3042,9738,1.371,0.328,0.437,0.401,175.903,846.248,2115620.000,1,1
2,0.052,3273,6633,2.454,0.239,0.314,0.212,0.997,260.418,651046.000,1,1
3,0.252,3594,14679,1.723,0.884,0.614,0.522,87.198,1947.311,4868278.000,1,1
4,0.206,3771,10662,4.656,1.165,0.558,0.469,89.836,1345.955,3364888.000,1,1
5,0.262,3785,14312,0.851,2.955,0.643,0.519,82.531,2004.767,5011918.000,1,1
6,0.241,3681,13235,6.606,3.140,0.612,0.502,84.749,1762.224,4405561.000,1,1
7,0.251,3807,14058,5.421,4.064,0.635,0.504,91.416,1916.696,4791740.000,1,1
8,0.224,3732,11704,3.099,4.382,0.584,0.488,90.169,1538.797,3846992.000,1,1
9,0.239,3771,12792,3.018,6.558,0.617,0.493,89.337,1738.024,4345061.000,1,1
10,0.250,3634,13082,4.472,7.718,0.624,0.511,88.103,1833.588,4583970.000,1,1
11,0.248,3744,12767,1.778,8.233,0.632,0.500,88.729,1794.872,4487181.000,1,1
12,0.052,222,571,1.294,0.242,0.298,0.222,1.180,20.246,50616.000,2,1
13,0.144,221,1071,1.639,0.805,0.445,0.411,7.470,81.310,203275.000,2,1
14,0.139,227,1053,4.586,1.082,0.430,0.411,165.329,77.413,193533.000,2,1
15,0.132,240,889,0.766,2.890,0.433,0.388,10.126,68.448,171120.000,2,1
16,0.134,216,1022,6.540,3.068,0.423,0.404,52.401,74.024,185060.000,2,1
17,0.136,210,1006,5.345,3.985,0.427,0.407,154.937,74.350,185874.000,2,1
18,0.143,231,1090,3.020,4.313,0.441,0.412,117.245,81.392,203480.000,2,1
19,0.142,232,1023,2.942,6.489,0.437,0.415,121.031,78.426,196064.000,2,1
20,0.134,237,1002,4.396,7.655,0.422,0.403,2.626,73.129,182822.000,2,1
21,0.138,227,938,1.692,8.178,0.428,0.411,17.920,73.045,182612.000,2,1
22,0.029,573,1323,1.329,0.233,0.229,0.162,177.664,28.138,70346.000,3,1
23,0.108,615,3087,1.689,0.806,0.392,0.352,75.721,169.002,422504.000,3,1
24,0.105,538,2967,4.631,1.084,0.377,0.355,95.127,160.792,401981.000,3,1
25,0.108,554,2911,0.804,2.882,0.377,0.366,150.870,165.347,413367.000,3,1
26,0.094,595,2590,6.580,3.082,0.369,0.325,70.611,131.836,329589.000,3,1
27,0.103,639,2753,5.393,4.009,0.391,0.336,106.500,149.294,373235.000,3,1
28,0.116,576,3222,3.063,4.320,0.411,0.359,91.405,185.134,462835.000,3,1
29,0.101,655,2626,2.982,6.489,0.377,0.341,92.086,144.762,361905.000,3,1
30,0.096,594,2476,4.427,7.660,0.367,0.335,97.535,132.769,331923.000,3,1
31,0.091,590,2230,1.729,8.181,0.342,0.338,144.455,118.590,296474.000,3,1
32,0.066,3798,8981,2.473,0.251,0.343,0.246,177.550,414.677,1036692.000,1,2
33,0.122,3855,10758,1.383,0.336,0.422,0.368,157.243,865.046,2162616.000,1,2
34,0.211,3444,15144,1.723,0.937,0.567,0.474,108.116,1882.319,4705797.000,1,2
35,0.150,3579,10582,4.664,1.211,0.476,0.401,106.122,1058.669,2646672.000,1,2
36,0.218,3444,15145,0.861,3.006,0.569,0.489,102.018,1952.951,4882378.000,1,2
37,0.195,3501,14237,6.615,3.189,0.549,0.453,99.676,1596.937,3992342.000,1,2
38,0.209,3531,15144,5.430,4.108,0.569,0.468,107.801,1872.483,4681207.000,1,2
39,0.173,3674,12257,3.108,4.423,0.512,0.430,103.087,1320.426,3301065.000,1,2
40,0.196,3839,13915,3.013,6.618,0.554,0.451,109.632,1600.066,4000164.000,1,2
41,0.198,4205,14200,4.467,7.759,0.560,0.450,106.326,1640.706,4101764.000,1,2
